Time,Open,High,Low,Close,Volume
01.02.2012 10:38:00.000,1.31282,1.31320,1.31265,1.31265,304.93
01.02.2012 10:39:00.000,1.31266,1.31304,1.31261,1.31263,328.92
01.02.2012 10:40:00.000,1.31262,1.31280,1.31260,1.31270,257.68
01.02.2012 10:41:00.000,1.31267,1.31272,1.31252,1.31271,243.25
01.02.2012 10:42:00.000,1.31269,1.31283,1.31233,1.31234,243.48
01.02.2012 10:43:00.000,1.31233,1.31257,1.31233,1.31241,264.50
01.02.2012 10:44:00.000,1.31241,1.31276,1.31235,1.31273,280.61
01.02.2012 10:45:00.000,1.31272,1.31315,1.31267,1.31307,274.97
01.02.2012 10:46:00.000,1.31307,1.31307,1.31271,1.31273,302.04
01.02.2012 10:47:00.000,1.31270,1.31290,1.31259,1.31280,182.50
01.02.2012 10:48:00.000,1.31280,1.31296,1.31254,1.31257,217.30
01.02.2012 10:49:00.000,1.31257,1.31283,1.31248,1.31270,294.18
01.02.2012 10:50:00.000,1.31270,1.31275,1.31223,1.31242,362.21
01.02.2012 10:51:00.000,1.31241,1.31251,1.31210,1.31228,216.51
01.02.2012 10:52:00.000,1.31229,1.31243,1.31223,1.31243,238.72
01.02.2012 10:53:00.000,1.31242,1.31265,1.31242,1.31262,254.59
01.02.2012 10:54:00.000,1.31262,1.31263,1.31252,1.31261,208.85
01.02.2012 10:55:00.000,1.31261,1.31315,1.31252,1.31315,320.57
01.02.2012 10:56:00.000,1.31315,1.31333,1.31295,1.31313,288.32
01.02.2012 10:57:00.000,1.31312,1.31335,1.31303,1.31332,235.85
01.02.2012 10:58:00.000,1.31332,1.31332,1.31309,1.31319,221.89
01.02.2012 10:59:00.000,1.31317,1.31348,1.31300,1.31327,384.87
01.02.2012 11:00:00.000,1.31330,1.31340,1.31306,1.31331,285.80
01.02.2012 11:01:00.000,1.31331,1.31344,1.31314,1.31316,269.83
01.02.2012 11:02:00.000,1.31312,1.31343,1.31306,1.31340,250.99
01.02.2012 11:03:00.000,1.31338,1.31353,1.31326,1.31333,245.70
01.02.2012 11:04:00.000,1.31333,1.31334,1.31292,1.31292,205.59
01.02.2012 11:05:00.000,1.31295,1.31305,1.31280,1.31297,242.99
01.02.2012 11:06:00.000,1.31296,1.31299,1.31261,1.31268,218.30
01.02.2012 11:07:00.000,1.31268,1.31283,1.31249,1.31250,229.77
01.02.2012 11:08:00.000,1.31250,1.31290,1.31250,1.31282,255.43
01.02.2012 11:09:00.000,1.31284,1.31295,1.31272,1.31278,243.63
